turn_index,status,timing_turn_total_ms,timing_retrieve_ms,timing_conversation_ms,prompt_char_len,memory_window_len,assistant_response_char_len,total_tokens,user_path_tokens,background_tokens,total_input_tokens,total_output_tokens,llm_requests,user_path_requests,background_requests,pipeline_runs,retrieval_entries,error,ps1_extraction_requests,ps1_extraction_tokens,ps1_extraction_avg_latency_ms,ps2_conflict_requests,ps2_conflict_tokens,ps2_conflict_avg_latency_ms,retrieval_requests,retrieval_tokens,retrieval_avg_latency_ms,core_memory_requests,core_memory_tokens,core_memory_avg_latency_ms,summary_requests,summary_tokens,summary_avg_latency_ms,conversation_requests,conversation_tokens,conversation_avg_latency_ms
11,success,22630.47249999363,14815.020099980757,7725.88439998799,220,10,409,8195,1067,7128,5838,2357,4,2,2,0,1,,1,5118,5358.99999999674,1,2010,12391.00000000326,1,406,11467.99999999348,0,0,,0,0,,1,661,7640.00000001397
12,success,28001.595400011865,14421.653099998366,13485.719399992377,498,12,431,5624,1222,4402,5199,425,4,2,2,0,1,,0,0,,2,4402,14421.999999991385,1,368,13266.00000000326,0,0,,0,0,,1,854,13344.000000011874
13,success,37638.651499990374,15699.756399990292,21827.493099990534,715,14,350,6427,1396,5031,5878,549,4,2,2,0,1,,0,0,,2,5031,18929.500000012922,1,362,14296.999999991385,0,0,,0,0,,1,1034,21702.99999997951
14,success,41119.139499991434,23416.188500006683,17593.341100000544,1007,16,377,6836,1591,5245,6208,628,4,2,2,0,1,,0,0,,2,5245,20703.000000008615,1,360,22155.999999988126,0,0,,0,0,,1,1231,17437.999999994645
15,success,38727.10060002282,14127.544300019508,24506.43619999755,833,18,336,6793,1629,5164,6201,592,4,2,2,0,1,,0,0,,2,5164,19523.999999990338,1,371,12891.00000000326,0,0,,0,0,,1,1258,24359.99999998603
16,success,28599.600700021256,14159.89329997683,14328.03979999153,1716,10,307,15535,1475,14060,12549,2986,7,2,5,0,1,,1,4808,4312.000000005355,2,5043,15156.500000011874,1,366,12921.999999991385,1,2594,1421.9999999913853,1,1615,983.9999999967404,1,1109,14203.000000008615
17,success,32877.09480000194,14768.925999989733,18012.662900000578,1992,12,325,6722,1618,5104,6223,499,4,2,2,0,1,,0,0,,2,5104,16265.499999994063,1,376,13530.999999988126,0,0,,0,0,,1,1242,17891.00000000326
18,success,48374.818000011146,29667.054499994265,18606.01799999131,1973,14,424,7031,1706,5325,6295,736,4,2,2,0,1,,0,0,,2,5325,23531.000000002678,1,366,28421.999999991385,0,0,,0,0,,1,1340,18469.000000011874
19,success,24151.528699992923,14892.474299995229,9153.142499999376,1699,16,392,6728,1731,4997,6371,357,4,2,2,0,1,,0,0,,2,4997,12335.500000001048,1,367,13610.000000015134,0,0,,0,0,,1,1364,9015.999999974156
20,success,55805.36909998045,21602.805999980774,34102.254500001436,2242,18,578,7492,2046,5446,6614,878,4,2,2,0,1,,0,0,,2,5446,26327.999999994063,1,362,20828.000000008615,0,0,,0,0,,1,1684,34046.999999991385
21,success,39364.197899994906,18536.974799993914,20674.62639999576,2223,10,729,16526,1797,14729,12880,3646,7,2,5,0,1,,1,5183,5937.999999994645,2,5154,18570.000000006985,1,426,17218.99999998277,1,2691,2250.0,1,1701,16280.999999988126,1,1371,20547.00000002049
22,success,49623.537999985274,25586.34350000648,23945.040999999037,2111,12,838,7250,1985,5265,6462,788,4,2,2,0,1,,0,0,,2,5265,24000.0,1,402,24108.99999999674,0,0,,0,0,,1,1583,23812.000000005355
23,success,43884.40320000518,23902.761200006353,19860.035099991364,2151,14,359,7430,2087,5343,6789,641,4,2,2,0,1,,0,0,,2,5343,24399.00000000489,1,367,22594.000000011874,0,0,,0,0,,1,1720,19702.99999997951
24,success,42269.28740000585,15398.57740001753,26771.333599986974,2355,16,1423,7615,2581,5034,6908,707,4,2,2,0,1,,0,0,,2,5034,12742.499999993015,1,365,14108.99999999674,0,0,,0,0,,1,2216,26625.0
25,success,24740.231200004928,14369.987599988235,10249.130200012587,2421,18,445,7671,2695,4976,7312,359,4,2,2,0,1,,0,0,,2,4976,20297.000000005937,1,345,13219.000000011874,0,0,,0,0,,1,2350,10092.99999999348
26,success,23062.01689998852,13605.97949998919,9357.526800013147,2210,10,330,18781,2156,16625,14240,4541,7,2,5,0,1,,1,6468,6641.00000000326,2,4951,11687.499999985448,1,353,12484.99999998603,1,2917,3858.9999999967404,1,2289,13077.99999997951,1,1803,9218.99999998277
27,success,42945.850399992196,24694.801900011953,18126.80120000732,2090,12,271,7491,2259,5232,6845,646,4,2,2,0,1,,0,0,,2,5232,21547.500000000582,1,402,23625.0,0,0,,0,0,,1,1857,17983.99999999674
28,success,36843.0115999945,18601.286399993114,18149.213099997723,2404,14,303,7536,2477,5059,6982,554,4,2,2,0,1,,0,0,,2,5059,18148.500000010245,1,430,17297.00000002049,0,0,,0,0,,1,2047,17985.000000015134
29,success,43237.27489999146,24277.341800014256,18861.28800001461,2279,16,107,7763,2390,5373,7125,638,4,2,2,0,1,,0,0,,2,5373,22422.49999998603,1,333,23141.00000000326,0,0,,0,0,,1,2057,18719.000000011874
30,success,37569.26459999522,23797.87710000528,13681.780899991281,2567,18,740,7832,2681,5151,7247,585,4,2,2,0,1,,0,0,,2,5151,15632.500000006985,1,357,22515.00000001397,0,0,,0,0,,1,2324,13546.000000002095
31,success,38595.0518999889,21585.161099996185,16901.89680000185,2559,10,271,13381,1640,11741,11098,2283,7,2,5,0,1,,1,0,7610.000000015134,2,5198,21554.49999999837,1,347,20422.00000002049,1,3423,2328.0000000086147,1,3120,5733.99999999674,1,1293,16765.00000001397
32,success,29982.145999994827,13535.57790000923,16350.416800007224,2672,12,198,6837,1745,5092,6390,447,4,2,2,0,1,,0,0,,2,5092,15421.49999999674,1,353,12375.0,0,0,,0,0,,1,1392,16202.99999997951
33,success,13136.54239999596,8873.06479999097,4174.337699980242,2850,14,227,5080,1849,3231,3789,1291,3,2,1,0,1,,0,0,,0,0,,1,342,7687.000000005355,0,0,,1,3231,5608.99999999674,1,1507,4030.9999999881256
34,success,13936.017600004561,10103.266499994788,3733.033099997556,2874,16,199,1925,1925,0,1763,162,2,2,0,0,1,,0,0,,0,0,,1,359,8828.000000008615,0,0,,0,0,,1,1566,3562.000000005355
35,success,14197.765399992932,10249.793099996168,3774.750699987635,2821,18,200,1984,1984,0,1812,172,2,2,0,0,1,,0,0,,0,0,,1,365,9172.00000002049,0,0,,0,0,,1,1619,3640.00000001397
36,success,18755.939700000454,9217.77500002645,9444.675200007623,2705,10,214,9462,1486,7976,6654,2808,4,2,2,0,1,,1,5511,8546.999999991385,1,2465,8125.0,1,342,8092.999999993481,0,0,,0,0,,1,1144,9280.999999988126
37,success,28882.80200000736,12349.817000009352,16420.775200007483,2723,12,186,6716,1547,5169,6272,444,4,2,2,0,1,,0,0,,2,5169,14750.0,1,345,11640.999999974156,0,0,,0,0,,1,1202,16406.00000001723
38,success,21227.440599992406,12813.366400019731,8316.599300014786,2809,14,205,6659,1659,5000,6332,327,4,2,2,0,1,,0,0,,2,5000,10866.99999999837,1,365,12141.00000000326,0,0,,0,0,,1,1294,8296.000000002095
39,success,36712.259499996435,22292.842900002142,14323.750000010477,2427,16,172,6808,1562,5246,6250,558,4,2,2,0,1,,0,0,,2,5246,18625.499999994645,1,345,21609.99999998603,0,0,,0,0,,1,1217,14296.999999991385
40,success,30641.27809999627,15123.948599997675,15410.269600019092,2780,18,218,6838,1759,5079,6386,452,4,2,2,0,1,,0,0,,2,5079,15452.999999994063,1,352,14000.0,0,0,,0,0,,1,1407,15265.00000001397
41,success,61264.062700007344,30641.95479999762,30528.37630000431,2868,10,273,13612,1510,12102,11241,2371,6,2,4,0,1,,1,4171,3469.0000000118744,3,7931,33984.3333333362,1,351,29391.00000000326,0,0,,0,0,,1,1159,30343.99999998277
42,success,44705.30699999654,20035.257599985925,24565.472799993586,2414,12,328,13192,1465,11727,11817,1375,7,2,5,0,1,,0,0,,3,7495,20890.666666663794,1,371,18827.99999997951,1,2360,1641.0000000032596,1,1872,7187.999999994645,1,1094,24405.999999988126
43,success,34815.60440000612,20022.767699992983,14687.375200010138,3076,14,344,6936,1742,5194,6384,552,4,2,2,0,1,,0,0,,2,5194,22710.500000001048,1,351,19297.00000002049,0,0,,0,0,,1,1391,14656.00000001723
44,success,35153.066399972886,20265.601600025548,14776.201000000583,2910,16,334,6932,1792,5140,6368,564,4,2,2,0,1,,0,0,,2,5140,18069.999999992433,1,359,19594.000000011874,0,0,,0,0,,1,1433,14750.0
45,success,21924.86659999122,12427.778900018893,9394.01089999592,3213,18,301,6920,1990,4930,6577,343,4,2,2,0,1,,0,0,,2,4930,11531.499999997322,1,364,11717.99999999348,0,0,,0,0,,1,1626,9375.0
46,success,40942.83810001798,20955.973600008292,19890.57769998908,2785,10,331,14898,1679,13219,12026,2872,7,2,5,0,1,,1,4176,3282.0000000065193,2,5226,26500.500000009197,1,367,20266.00000000326,1,2177,2219.0000000118744,1,1640,4937.000000005355,1,1312,19858.99999999674
47,success,29496.692599990638,21306.163600005675,8092.866700026207,2817,12,305,6759,1762,4997,6290,469,4,2,2,0,1,,0,0,,2,4997,15406.000000002678,1,373,20531.00000001723,0,0,,0,0,,1,1389,8062.999999994645
48,success,21985.92879998614,13047.029900015332,8817.090099997586,2269,14,294,9027,1652,7375,8180,847,5,2,3,0,1,,0,0,,2,4968,11491.99999999837,1,345,11921.999999991385,1,2407,2031.0000000172295,0,0,,1,1307,8671.999999991385
49,success,15350.681500014616,10838.80890000728,4421.646000002511,2560,16,286,4492,1855,2637,2982,1510,3,2,1,0,1,,0,0,,0,0,,1,381,9562.000000005355,0,0,,1,2637,4266.00000000326,1,1474,4265.999999974156
50,success,14438.229999999749,10171.53479999979,4166.089500009548,2837,18,276,2000,2000,0,1824,176,2,2,0,0,1,,0,0,,0,0,,1,368,8968.99999998277,0,0,,0,0,,1,1632,4030.9999999881256
51,success,28012.02779999585,10313.54969998938,17591.21170002618,2998,10,409,8910,1705,7205,6818,2092,4,2,2,0,1,,1,4636,5296.999999991385,1,2569,18983.99999999674,1,355,9030.999999988126,0,0,,0,0,,1,1350,17453.000000008615
52,success,36557.700200006366,20735.04790000152,15704.025800019735,2711,12,330,6788,1691,5097,6223,565,4,2,2,0,1,,0,0,,2,5097,18671.500000011292,1,353,19953.000000008615,0,0,,0,0,,1,1338,15687.000000005355
53,success,23185.60399999842,14068.170799990185,9025.661099993158,2318,14,377,6625,1678,4947,6256,369,4,2,2,0,1,,0,0,,2,4947,11867.000000012922,1,375,13282.00000000652,0,0,,0,0,,1,1303,9000.0
54,success,30518.059699999867,20527.28229999775,9887.170400004834,2618,16,285,6925,1840,5085,6449,476,4,2,2,0,1,,0,0,,2,5085,15641.00000000326,1,335,19782.00000000652,0,0,,0,0,,1,1505,9875.0
55,success,30304.143100016518,12248.539000021992,17905.560299986973,2589,18,334,6966,1930,5036,6483,483,4,2,2,0,1,,0,0,,2,5036,15758.499999996275,1,350,11421.999999991385,0,0,,0,0,,1,1580,17875.0
56,success,33894.80440001353,24298.292099992977,9495.3436999931,2924,10,360,16971,1769,15202,12707,4264,7,2,5,0,1,,1,4663,4219.000000011874,2,5093,22258.00000000163,1,418,23546.000000002095,1,2612,3358.9999999967404,1,2834,7781.0000000172295,1,1351,9468.99999998277
57,success,36191.00410002284,25927.003399992827,10149.711700010812,2898,12,451,6931,1847,5084,6401,530,4,2,2,0,1,,0,0,,2,5084,17593.499999988126,1,400,24453.000000008615,0,0,,0,0,,1,1447,10000.0
58,success,42187.01910000527,23862.247400014894,18215.007800026797,3175,14,423,7187,2017,5170,6571,616,4,2,2,0,1,,0,0,,2,5170,21093.99999998277,1,364,22468.99999998277,0,0,,0,0,,1,1653,18108.99999999674
59,success,41902.55939998315,13741.693699994357,28061.634799989406,2735,16,370,7177,1935,5242,6553,624,4,2,2,0,1,,0,0,,2,5242,21226.499999989755,1,347,12608.99999999674,0,0,,0,0,,1,1588,27922.00000002049
60,success,46902.24530000705,25071.343099989463,21709.446499997284,3097,18,443,7459,2153,5306,6762,697,4,2,2,0,1,,0,0,,2,5306,22789.000000004307,1,362,23860.000000015134,0,0,,0,0,,1,1791,21562.999999994645
61,success,41473.1397999858,23660.289199993713,17706.626200000755,3267,10,363,17200,1827,15373,12998,4202,7,2,5,0,1,,1,4526,4780.999999988126,2,5265,26906.000000002678,1,347,22516.00000000326,1,2646,2500.0,1,2936,3452.999999979511,1,1480,17562.999999994645
62,success,50661.556299979566,23636.346999992384,26810.530399990967,3507,12,398,7488,1989,5499,6728,760,4,2,2,0,1,,0,0,,2,5499,24679.49999999837,1,352,22312.999999994645,0,0,,0,0,,1,1637,26733.99999999674
63,success,43410.09779999149,25951.02500001667,17370.619799999986,3270,14,316,7334,2021,5313,6690,644,4,2,2,0,1,,0,0,,2,5313,21320.50000000163,1,376,24702.99999997951,0,0,,0,0,,1,1645,17218.99999998277
64,success,39411.34229997988,15423.433999996632,23808.973899984267,3518,16,438,7326,2229,5097,6800,526,4,2,2,0,1,,0,0,,2,5097,18460.999999995693,1,384,14062.000000005355,0,0,,0,0,,1,1845,23672.00000002049
65,success,52640.84539999021,30495.466399996076,22002.132900001016,3483,18,412,7563,2321,5242,6894,669,4,2,2,0,1,,0,0,,2,5242,26976.500000004307,1,388,29062.000000005355,0,0,,0,0,,1,1933,21875.0
66,success,34462.63270001509,13883.397400000831,20469.671200000448,3558,10,431,17476,1916,15560,13295,4181,7,2,5,0,1,,1,4790,4062.000000005355,2,5179,18391.00000000326,1,365,12656.00000001723,1,2556,1233.9999999967404,1,3035,4562.000000005355,1,1551,20344.000000011874
67,success,41008.83770000655,22774.81559998705,18146.088300010888,3251,12,438,7233,1896,5337,6601,632,4,2,2,0,1,,0,0,,2,5337,20266.00000000326,1,347,21516.00000000326,0,0,,0,0,,1,1549,18015.00000001397
68,success,39793.562700011535,21471.40299997409,18066.670500003966,3168,14,438,7308,1982,5326,6673,635,4,2,2,0,1,,0,0,,2,5326,19460.999999995693,1,356,19875.0,0,0,,0,0,,1,1626,18016.00000000326
69,success,32129.07439999981,12336.85420002439,19690.406700014137,3776,16,475,7466,2241,5225,6967,499,4,2,2,0,1,,0,0,,2,5225,15944.999999992433,1,354,11657.00000000652,0,0,,0,0,,1,1887,19671.999999991385
70,success,48129.70370001858,25398.216100002173,22642.407700011972,3488,18,461,7699,2295,5404,6972,727,4,2,2,0,1,,0,0,,2,5404,24101.500000004307,1,379,24282.00000000652,0,0,,0,0,,1,1916,22500.0
71,success,47027.751899993746,28644.72929999465,18284.463900025003,3405,10,473,17823,1961,15862,13427,4396,7,2,5,0,1,,1,4817,4016.0000000032596,2,5392,30781.000000002678,1,408,27406.00000001723,1,2654,1875.0,1,2999,6266.00000000326,1,1553,18125.0
72,success,37961.74470000551,20493.451699992875,17375.77629997395,3684,12,399,7493,2082,5411,6899,594,4,2,2,0,1,,0,0,,2,5411,18968.500000002678,1,337,19764.999999984866,0,0,,0,0,,1,1745,17344.000000011874
73,success,38640.39669997874,20459.221700002672,18087.985699996352,3438,14,499,7458,2092,5366,6843,615,4,2,2,0,1,,0,0,,2,5366,19211.000000010245,1,347,19750.0,0,0,,0,0,,1,1745,18062.000000005355
74,success,31924.429799983045,20942.07560000359,10886.429999984102,3871,16,498,7520,2343,5177,7017,503,4,2,2,0,1,,0,0,,2,5177,15578.000000008615,1,345,20250.0,0,0,,0,0,,1,1998,10859.000000025844
75,success,24276.437499996973,14165.641700004926,10021.44139999291,3279,18,441,7339,2327,5012,6955,384,4,2,2,0,1,,0,0,,2,5012,13023.499999995693,1,379,13469.000000011874,0,0,,0,0,,1,1948,10000.0
76,success,33351.94009999395,12453.213300002972,20799.726199998986,4095,10,703,18262,2139,16123,13738,4524,7,2,5,0,1,,1,4980,6483.99999999674,2,5200,15780.500000008033,1,350,11750.0,1,2605,1328.0000000086147,1,3338,6046.999999991385,1,1789,20766.00000000326
77,success,57362.34290001448,34901.704499992775,22360.574799997266,3586,12,823,7734,2200,5534,6802,932,4,2,2,0,1,,0,0,,2,5534,28585.999999995693,1,378,34125.0,0,0,,0,0,,1,1822,22328.000000008615
78,success,43242.04529999406,21211.503400001675,21920.598199998494,4219,14,818,7893,2533,5360,7190,703,4,2,2,0,1,,0,0,,2,5360,21375.499999994645,1,360,20515.999999974156,0,0,,0,0,,1,2173,21889.999999984866
79,success,42011.84349998948,26799.36460001045,15113.316500006476,4140,16,898,7953,2756,5197,7263,690,4,2,2,0,1,,0,0,,2,5197,20398.49999998114,1,409,26125.0,0,0,,0,0,,1,2347,15094.000000011874
80,success,30169.82499998994,15430.414000002202,14647.917499998584,4335,18,927,8038,2978,5060,7540,498,4,2,2,0,1,,0,0,,2,5060,15741.999999983818,1,394,14766.00000000326,0,0,,0,0,,1,2584,14625.0
81,success,63444.29769998533,37247.17069999315,26095.152900001267,3609,10,997,19267,2522,16745,14608,4659,7,2,5,0,1,,1,5246,3891.0000000032596,2,5606,43132.500000006985,1,432,36516.00000000326,1,2640,1156.0000000172295,1,3253,5203.000000008615,1,2090,26078.000000008615
82,success,40310.28810000862,19283.508299995447,20916.634000022896,3307,12,1047,7834,2593,5241,7165,669,4,2,2,0,1,,0,0,,2,5241,20062.5,1,327,18672.00000002049,0,0,,0,0,,1,2266,20891.00000000326
83,success,50105.94380000839,22472.28340001311,27542.880600027274,3171,14,1047,8207,2780,5427,7404,803,4,2,2,0,1,,0,0,,2,5427,25148.500000010245,1,359,21796.000000002095,0,0,,0,0,,1,2421,27516.00000000326
84,success,39741.83759998414,12137.898699991638,27506.627200025832,3356,16,1102,8281,3056,5225,7623,658,4,2,2,0,1,,0,0,,2,5225,19851.499999989755,1,347,11485.000000015134,0,0,,0,0,,1,2709,27500.0
85,success,39580.93199998257,14150.163200014504,25313.83040000219,3467,18,1142,8633,3425,5208,7976,657,4,2,2,0,1,,0,0,,2,5208,19687.500000014552,1,375,13296.999999991385,0,0,,0,0,,1,3050,25296.999999991385
86,success,43495.8701999858,26012.085800000932,17391.374799975893,4332,10,1176,21155,2898,18257,16500,4655,7,2,5,0,1,,1,6346,5625.0,2,5282,28710.999999995693,1,376,25264.999999984866,1,3136,1905.9999999881256,1,3493,3062.000000005355,1,2522,17359.99999998603
87,success,40312.21890001325,14301.899399986723,25914.443899993785,3795,12,1247,8195,3052,5143,7515,680,4,2,2,0,1,,0,0,,2,5143,20546.49999999674,1,383,13655.999999988126,0,0,,0,0,,1,2669,25889.999999984866
88,success,49313.38040000992,21251.79389998084,27966.291000018828,3993,14,1247,8697,3333,5364,7886,811,4,2,2,0,1,,0,0,,2,5364,24500.000000014552,1,352,20391.00000000326,0,0,,0,0,,1,2981,27937.000000005355
89,success,42796.56019998947,15231.578200007789,27470.490700012306,3892,16,1277,8753,3632,5121,8040,713,4,2,2,0,1,,0,0,,2,5121,21500.0,1,387,13703.999999997905,0,0,,0,0,,1,3245,27453.000000008615
90,success,31837.96970002004,11818.52999998955,19929.685299983248,4027,18,1387,8901,3875,5026,8367,534,4,2,2,0,1,,0,0,,2,5026,15906.499999997322,1,339,11141.00000000326,0,0,,0,0,,1,3536,19905.999999988126
91,success,49019.04889999423,23204.334000009112,25694.777199998498,3674,10,1395,17654,3023,14631,14349,3305,6,2,4,0,1,,1,7060,5812.999999994645,3,7571,24968.66666666271,1,384,22516.00000000326,0,0,,0,0,,1,2639,25671.000000002095
92,success,60032.20360001433,25722.682699997677,34204.72830001381,3748,12,1490,20789,3294,17495,18482,2307,8,2,6,0,1,,0,0,,4,10141,28070.249999989755,1,358,25016.00000000326,1,3922,2828.0000000086147,1,3432,4094.0000000118744,1,2936,34187.000000005355
93,success,52199.274500017054,23343.32999997423,28709.711999981664,2606,14,1510,8658,3333,5325,7785,873,4,2,2,0,1,,0,0,,2,5325,33273.49999999569,1,393,22640.00000001397,0,0,,0,0,,1,2940,28687.000000005355
94,success,50290.303099987796,21471.90319999936,28723.839599988423,2874,16,1564,8830,3673,5157,7986,844,4,2,2,0,1,,0,0,,2,5157,24773.000000001048,1,366,20625.0,0,0,,0,0,,1,3307,28703.000000008615
95,success,52703.73260002816,20851.597899978515,31715.69320000708,2520,18,1620,9142,3905,5237,8265,877,4,2,2,0,1,,0,0,,2,5237,26234.500000005937,1,350,20125.0,0,0,,0,0,,1,3555,31687.999999994645
96,success,63459.66289998614,24854.086800012738,38498.31590001122,2595,10,1725,17819,3047,14772,14650,3169,6,2,4,0,1,,1,7088,6875.0,3,7684,32046.666666671324,1,450,24139.999999984866,0,0,,0,0,,1,2597,38469.000000011874
97,success,108632.4903999921,32436.87229999341,76093.06030001608,2157,12,1733,13228,3147,10081,12216,1012,6,2,4,0,1,,0,0,,4,10081,31652.249999999185,1,339,31782.00000000652,0,0,,0,0,,1,2808,75889.99999998487
98,success,21694363.341699995,21653730.397000007,40256.31529997918,1509,12,1689,13247,3033,10214,12146,1101,6,2,4,0,1,,0,0,,4,10214,10866703.250000006,1,349,21644187.000000004,0,0,,0,0,,1,2684,40217.99999999348
99,success,77603.94719999749,33256.6798000189,44253.26250001672,2649,14,1774,13977,3667,10310,12697,1280,6,2,4,0,1,,0,0,,4,10310,37511.5000000078,1,343,32562.000000005355,0,0,,0,0,,1,3324,44235.000000015134
100,success,56654.90699998918,26314.724700001534,30167.71000000881,3065,16,1842,19403,4082,15321,17608,1795,7,2,5,0,1,,0,0,,3,7616,35666.66666667637,1,341,25562.999999994645,1,4050,1250.0,1,3655,1421.9999999913853,1,3741,30139.999999984866
